Release Date,Book,Chapter Number,Chapter Name,Speaker,Dialogue,Addressee,Listener,About Character,Mentioned Character,Present
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"You ought dress more warmly, Gared.",Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,We'll see how warm you can dress when the winter comes.,Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,If Gared said it was the cold…,Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Have you drawn any watches this past week, Will?",Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"Yes, m'lord.",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,And how did you find the Wall?,Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"Weeping,",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,They couldn't have froze. Not if the Wall was weeping. It wasn't cold enough.,Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Bright lad. We've had a few light frosts this past week, and a quick flurry of snow now and then, but surely no cold fierce enough to kill eight grown men. Men clad in fur and leather, let me remind you, with shelter near at hand, and the means of making fire.",Gared;Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Will, lead us there. I would see these dead men for myself.",Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"We can make a better pace than this, surely,",Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"Not with this horse,",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,Perhaps my lord would care to take the lead?,Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Why are you stopping?,Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"Best go the rest of the way on foot, m'lord. It's just over that ridge.",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"There's something wrong here,",Waymar Royce;Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Is there?,Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,Can't you feel it?,Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,Listen to the darkness.,Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Wind. Trees rustling. A wolf. Which sound is it that unmans you so, Gared?",Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"The trees press close here,",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"That sword will tangle you up, m'lord. Better a knife.",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"If I need instruction, I will ask for it,",Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Gared, stay here. Guard the horses.",Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,We need a fire. I'll see to it.,Waymar Royce;Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"How big a fool are you, old man? If there are enemies in this wood, a fire is the last thing we want.",Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"There's some enemies a fire will keep away,",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,Bears and direwolves and… and other things…,Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,No fire.,Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"No fire,",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Lead on,",Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Gods!,,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,Get down!,Waymar Royce,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,Something's wrong.,Waymar Royce,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Your dead men seem to have moved camp, Will.",Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"On your feet, Will,",Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,There's no one here. I won't have you hiding under a bush.,Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,I am not going back to Castle Black a failure on my first ranging. We will find these men.,Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Up the tree. Be quick about it. Look for a fire.,Will,,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Who goes there?,The Other,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Will, where are you?",Will,The Other,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Can you see anything?,Will,The Other,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Answer me! Why is it so cold?,Will,The Other,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Come no farther,",The Other,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Dance with me then.,The Other,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,For Robert!,The Other,Will,,Robert Baratheon,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,The Other,Unknown,Waymar Royce,Will,,,TRUE
,,,,,,,,,,
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"In the name of Robert of the House Baratheon, the First of his Name, King of the Andals and the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm, by the word of Eddard of the House Stark, Lord of Winterfell and Warden of the North, I do sentence you to die.",Gared,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,Robert Baratheon,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"Keep the pony well in hand,",Bran Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,And don't look away. Father will know if you do.,Bran Stark,,Eddard Stark,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"Ass,",Theon Greyjoy,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"You did well,",Bran Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"The deserter died bravely,",Jon Snow;Bran Stark,,Gared,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"He had courage, at the least.",Jon Snow;Bran Stark,,Gared,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"No,",Robb Stark,Bran Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"It was not courage. This one was dead of fear. You could see it in his eyes, Stark.",Robb Stark,Bran Stark,Gared,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"The Others take his eyes,",Jon Snow,Bran Stark,Gared,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,He died well. Race you to the bridge?,Jon Snow,Bran Stark,Gared,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"Done,",Robb Stark,Bran Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"Are you well, Bran?",Bran Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,"Yes, Father,",Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,"Robb says the man died bravely, but Jon says he was afraid.",Eddard Stark,,Robb Stark;Jon Snow;Gared,Robb Stark;Jon Snow,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,What do you think?,Bran Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,Can a man still be brave if he's afraid?,Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"That is the only time a man can be brave,",Bran Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,Do you understand why I did it?,Bran Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,"He was a wildling,",Eddard Stark,,Gared,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,They carry off women and sell them to the Others.,Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"Old Nan has been telling you stories again. In truth, the man was an oathbreaker, a deserter from the Night's Watch. No man is more dangerous. The deserter knows his life is forfeit if he is taken, so he will not flinch from any crime, no matter how vile. But you mistake me. The question was not why the man had to die, but why I must do it.",Bran Stark,,Gared;Old Nan,Old Nan,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,"King Robert has a headsman,",Eddard Stark,,Robert Baratheon,Robert Baratheon,TRUE
